emoji,en,clean_en,zh-TW,zh
🧘🏻‍♀️,:woman_in_lotus_position_light_skin_tone:,woman in lotus position light skin tone,盤蓮花的女人淺膚色,:盘腿的女人_较浅肤色:
🧘🏼‍♀️,:woman_in_lotus_position_medium-light_skin_tone:,woman in lotus position medium-light skin tone,盤蓮花女人中淺膚色,:盘腿的女人_中等浅肤色:
🧎‍♀️,:woman_kneeling:,woman kneeling,跪著的女人,:跪下的女人:
🏋🏻‍♀️,:woman_lifting_weights_light_skin_tone:,woman lifting weights light skin tone,女人舉重淺膚色,:女生举重_较浅肤色:
👩🏻,:woman_light_skin_tone:,woman light skin tone,女人淺膚色,:女人_较浅肤色:
👱🏻‍♀️,:woman_light_skin_tone_blond_hair:,woman light skin tone blond hair,女人淺膚色金發,:金发女_较浅肤色:
👩🏻‍🦰,:woman_light_skin_tone_red_hair:,woman light skin tone red hair,女人淺膚色紅頭髮,:女人_较浅肤色红发:
👩🏻‍🦳,:woman_light_skin_tone_white_hair:,woman light skin tone white hair,女人淺膚色白頭髮,:女人_较浅肤色白发:
👩🏼,:woman_medium-light_skin_tone:,woman medium-light skin tone,女人中淺膚色,:女人_中等浅肤色:
👱🏼‍♀️,:woman_medium-light_skin_tone_blond_hair:,woman medium-light skin tone blond hair,女人中淺膚色金發,:金发女_中等浅肤色:
👩🏼‍🦱,:woman_medium-light_skin_tone_curly_hair:,woman medium-light skin tone curly hair,女人中淺膚色捲髮,:女人_中等浅肤色卷发:
👩🏼‍🦰,:woman_medium-light_skin_tone_red_hair:,woman medium-light skin tone red hair,女人中淺膚色紅頭髮,:女人_中等浅肤色红发:
👩🏻‍✈️,:woman_pilot_light_skin_tone:,woman pilot light skin tone,女飛行員淺膚色,:女飞行员_较浅肤色:
🙎‍♀️,:woman_pouting:,woman pouting,噘嘴的女人,:撅嘴女:
🙋‍♀️,:woman_raising_hand:,woman raising hand,女人舉手,:女生举手:
🙋🏻‍♀️,:woman_raising_hand_light_skin_tone:,woman raising hand light skin tone,舉手的女人淺膚色,:女生举手_较浅肤色:
👩‍🦰,:woman_red_hair:,woman red hair,紅頭髮的女人,:女人_红发:
🏃‍♀️,:woman_running:,woman running,女人跑,:女生跑步:
🏃🏻‍♀️,:woman_running_light_skin_tone:,woman running light skin tone,跑步的女人淺膚色,:女生跑步_较浅肤色:
🤷‍♀️,:woman_shrugging:,woman shrugging,女人聳肩,:女生耸肩:
🤷🏿‍♀️,:woman_shrugging_dark_skin_tone:,woman shrugging dark skin tone,深色膚色聳肩的女人,:女生耸肩_较深肤色:
🤷🏻‍♀️,:woman_shrugging_light_skin_tone:,woman shrugging light skin tone,聳肩的女人淺膚色,:女生耸肩_较浅肤色:
🤷🏾‍♀️,:woman_shrugging_medium-dark_skin_tone:,woman shrugging medium-dark skin tone,聳肩的女人 中深膚色,:女生耸肩_中等深肤色:
🤷🏼‍♀️,:woman_shrugging_medium-light_skin_tone:,woman shrugging medium-light skin tone,聳肩的女人中淺膚色,:女生耸肩_中等浅肤色:
🧍‍♀️,:woman_standing:,woman standing,站著的女人,:站立的女人:
👩🏻‍🎓,:woman_student_light_skin_tone:,woman student light skin tone,女學生淺膚色,:女学生_较浅肤色:
🏄‍♀️,:woman_surfing:,woman surfing,女人衝浪,:女生冲浪:
🏊‍♀️,:woman_swimming:,woman swimming,女子游泳,:女生游泳:
👩‍🏫,:woman_teacher:,woman teacher,女老師,:女老师:
💁‍♀️,:woman_tipping_hand:,woman tipping hand,女人傾斜的手,:前台女:
💁🏻‍♀️,:woman_tipping_hand_light_skin_tone:,woman tipping hand light skin tone,女人傾斜手較淺膚色,:前台女_较浅肤色:
🚶‍♀️,:woman_walking:,woman walking,走路的女人,:女行人:
👰‍♀️,:woman_with_veil:,woman with veil,戴面紗的女人,:戴头纱的女人:
👰🏻‍♀️,:woman_with_veil_light_skin_tone:,woman with veil light skin tone,面紗淺膚色的女人,:戴头纱的女人_较浅肤色:
🧟‍♀️,:woman_zombie:,woman zombie,女殭屍,:女僵尸:
👢,:woman’s_boot:,woman’s boot,女人的靴子,:女靴:
👚,:woman’s_clothes:,woman’s clothes,女人的衣服,:女装:
👭,:women_holding_hands:,women holding hands,婦女手牽著手,:手拉手的两个女人:
👭🏻,:women_holding_hands_light_skin_tone:,women holding hands light skin tone,手拉手的女人淺膚色,:手拉手的两个女人_较浅肤色:
👯‍♀️,:women_with_bunny_ears:,women with bunny ears,長著兔耳朵的女人,:兔女郎:
🚺,:women’s_room:,women’s room,女廁所,:女厕:
🪵,:wood:,wood,木頭,:木头:
🥴,:woozy_face:,woozy face,昏昏沉沉的臉,:头昏眼花:
🗺,:world_map:,world map,世界地圖,:世界地图:
😟,:worried_face:,worried face,擔心的臉,:担心:
🎁,:wrapped_gift:,wrapped gift,包裹的禮物,:礼物:
🔧,:wrench:,wrench,扳手,:扳手:
✍️,:writing_hand:,writing hand,手寫,:写字:
✍🏻,:writing_hand_light_skin_tone:,writing hand light skin tone,書寫手淺膚色,:写字_较浅肤色:
🥱,:yawning_face:,yawning face,打哈欠的臉,:打呵欠:
💛,:yellow_heart:,yellow heart,黃心,:黄心:
🟨,:yellow_square:,yellow square,黃色方塊,:黄色方块:
🤪,:zany_face:,zany face,滑稽的臉,:滑稽:
🦓,:zebra:,zebra,斑馬,:斑马:
🤐,:zipper-mouth_face:,zipper-mouth face,拉鍊嘴臉,:闭嘴:
